prophage_id	sample_id	length_bp	original_id
kansas_SRR13928116_NODE_206_length_6564_cov_4.653565	SRR13928116	6564	NODE_206_length_6564_cov_4.653565
kansas_SRR13928116_NODE_282_length_1822_cov_20.358702	SRR13928116	1822	NODE_282_length_1822_cov_20.358702
kansas_SRR13928116_NODE_156_length_12490_cov_12.967322	SRR13928116	12490	NODE_156_length_12490_cov_12.967322
kansas_SRR13928116_NODE_149_length_13548_cov_4.404068	SRR13928116	13548	NODE_149_length_13548_cov_4.404068
kansas_SRR13928116_NODE_146_length_14207_cov_18.401136	SRR13928116	14207	NODE_146_length_14207_cov_18.401136
kansas_SRR13928116_NODE_135_length_15397_cov_23.865357	SRR13928116	15397	NODE_135_length_15397_cov_23.865357
kansas_SRR13928116_NODE_251_length_3377_cov_15.929846	SRR13928116	3377	NODE_251_length_3377_cov_15.929846
kansas_SRR13928116_NODE_105_length_23037_cov_3.920297	SRR13928116	23037	NODE_105_length_23037_cov_3.920297
kansas_SRR13928116_NODE_52_length_47328_cov_18.173704	SRR13928116	47328	NODE_52_length_47328_cov_18.173704
kansas_SRR13928116_NODE_47_length_52070_cov_17.007296_fragment_1	SRR13928116	21681	NODE_47_length_52070_cov_17.007296_fragment_1
kansas_SRR13928116_NODE_23_length_82551_cov_16.946921_fragment_1	SRR13928116	23588	NODE_23_length_82551_cov_16.946921_fragment_1
kansas_SRR13928116_NODE_314_length_1208_cov_48.796485	SRR13928116	1208	NODE_314_length_1208_cov_48.796485
kansas_SRR13928116_NODE_62_length_41548_cov_17.331209_fragment_1	SRR13928116	7947	NODE_62_length_41548_cov_17.331209_fragment_1
kansas_SRR13928116_NODE_38_length_56161_cov_17.018614_fragment_1	SRR13928116	24779	NODE_38_length_56161_cov_17.018614_fragment_1
kansas_SRR13928116_NODE_61_length_42322_cov_3.822443	SRR13928116	42322	NODE_61_length_42322_cov_3.822443
kansas_SRR13928116_NODE_132_length_16433_cov_20.797375	SRR13928116	16433	NODE_132_length_16433_cov_20.797375
kansas_SRR13928116_NODE_170_length_10953_cov_23.314982	SRR13928116	10953	NODE_170_length_10953_cov_23.314982
kansas_SRR13928116_NODE_93_length_25304_cov_19.971005	SRR13928116	25304	NODE_93_length_25304_cov_19.971005
kansas_SRR13928116_NODE_209_length_5992_cov_3.661722	SRR13928116	5992	NODE_209_length_5992_cov_3.661722
kansas_SRR13928116_NODE_88_length_26723_cov_16.447323	SRR13928116	26723	NODE_88_length_26723_cov_16.447323
kansas_SRR13928116_NODE_19_length_99938_cov_17.089980_fragment_1	SRR13928116	47067	NODE_19_length_99938_cov_17.089980_fragment_1
kansas_SRR13928116_NODE_99_length_24160_cov_21.449465	SRR13928116	24160	NODE_99_length_24160_cov_21.449465
kansas_SRR13928116_NODE_2_length_356002_cov_18.252403_fragment_1	SRR13928116	41757	NODE_2_length_356002_cov_18.252403_fragment_1
kansas_SRR13928116_NODE_264_length_2546_cov_19.174039	SRR13928116	2546	NODE_264_length_2546_cov_19.174039
kansas_SRR13928117_NODE_6_length_351365_cov_29.791076_fragment_1	SRR13928117	39627	NODE_6_length_351365_cov_29.791076_fragment_1
kansas_SRR13928117_NODE_15_length_109282_cov_10.888993	SRR13928117	109282	NODE_15_length_109282_cov_10.888993
kansas_SRR13928117_NODE_11_length_179709_cov_28.852931_fragment_1	SRR13928117	44251	NODE_11_length_179709_cov_28.852931_fragment_1
kansas_SRR13928117_NODE_2_length_431098_cov_32.328598_fragment_1	SRR13928117	8577	NODE_2_length_431098_cov_32.328598_fragment_1
kansas_SRR13928117_NODE_3_length_430028_cov_27.450259_fragment_2	SRR13928117	44501	NODE_3_length_430028_cov_27.450259_fragment_2
kansas_SRR13928117_NODE_10_length_186705_cov_40.774486_fragment_1	SRR13928117	22642	NODE_10_length_186705_cov_40.774486_fragment_1
kansas_SRR13928117_NODE_8_length_232004_cov_31.465583_fragment_1	SRR13928117	39490	NODE_8_length_232004_cov_31.465583_fragment_1
kansas_SRR13928117_NODE_1_length_782623_cov_35.762317_fragment_2	SRR13928117	38909	NODE_1_length_782623_cov_35.762317_fragment_2
kansas_SRR13928118_NODE_47_length_22465_cov_37.207315	SRR13928118	22465	NODE_47_length_22465_cov_37.207315
kansas_SRR13928118_NODE_50_length_20348_cov_37.543297	SRR13928118	20348	NODE_50_length_20348_cov_37.543297
kansas_SRR13928118_NODE_85_length_1669_cov_34.565499	SRR13928118	1669	NODE_85_length_1669_cov_34.565499
kansas_SRR13928119_NODE_34_length_9873_cov_3.400985	SRR13928119	9873	NODE_34_length_9873_cov_3.400985
kansas_SRR13928119_NODE_44_length_5482_cov_4.456769	SRR13928119	5482	NODE_44_length_5482_cov_4.456769
kansas_SRR13928119_NODE_21_length_48313_cov_3.719109	SRR13928119	48313	NODE_21_length_48313_cov_3.719109
kansas_SRR13928119_NODE_36_length_8715_cov_3.575687	SRR13928119	8715	NODE_36_length_8715_cov_3.575687
kansas_SRR13928119_NODE_3_length_478571_cov_27.345374_fragment_1	SRR13928119	33841	NODE_3_length_478571_cov_27.345374_fragment_1
kansas_SRR13928119_NODE_39_length_6833_cov_3.286013	SRR13928119	6833	NODE_39_length_6833_cov_3.286013
kansas_SRR13928119_NODE_31_length_14870_cov_3.554568	SRR13928119	14870	NODE_31_length_14870_cov_3.554568
kansas_SRR13928119_NODE_11_length_136620_cov_21.774816_fragment_1	SRR13928119	42203	NODE_11_length_136620_cov_21.774816_fragment_1
kansas_SRR13928119_NODE_27_length_21645_cov_3.702156	SRR13928119	21645	NODE_27_length_21645_cov_3.702156
kansas_SRR13928119_NODE_8_length_217327_cov_21.028900_fragment_1	SRR13928119	33765	NODE_8_length_217327_cov_21.028900_fragment_1
kansas_SRR13928119_NODE_35_length_8762_cov_28.342444	SRR13928119	8762	NODE_35_length_8762_cov_28.342444
kansas_SRR13928119_NODE_18_length_89268_cov_23.297248_fragment_1	SRR13928119	24831	NODE_18_length_89268_cov_23.297248_fragment_1
kansas_SRR13928119_NODE_7_length_268982_cov_21.952778_fragment_1	SRR13928119	36893	NODE_7_length_268982_cov_21.952778_fragment_1
kansas_SRR13928119_NODE_49_length_3301_cov_2.916509	SRR13928119	3301	NODE_49_length_3301_cov_2.916509
kansas_SRR13928119_NODE_26_length_26957_cov_3.435110	SRR13928119	26957	NODE_26_length_26957_cov_3.435110
kansas_SRR13928119_NODE_54_length_1882_cov_24.305983	SRR13928119	1882	NODE_54_length_1882_cov_24.305983
kansas_SRR13928119_NODE_30_length_16557_cov_3.569811	SRR13928119	16557	NODE_30_length_16557_cov_3.569811
kansas_SRR13928119_NODE_45_length_5211_cov_26.707514	SRR13928119	5211	NODE_45_length_5211_cov_26.707514
kansas_SRR13928119_NODE_33_length_10607_cov_25.039981	SRR13928119	10607	NODE_33_length_10607_cov_25.039981
kansas_SRR13928119_NODE_1_length_868778_cov_23.444690_fragment_1	SRR13928119	20955	NODE_1_length_868778_cov_23.444690_fragment_1
kansas_SRR13928119_NODE_1_length_868778_cov_23.444690_fragment_2	SRR13928119	31463	NODE_1_length_868778_cov_23.444690_fragment_2
kansas_SRR13928119_NODE_47_length_4040_cov_3.932533	SRR13928119	4040	NODE_47_length_4040_cov_3.932533
kansas_SRR13928120_NODE_17_length_5671_cov_72.729257	SRR13928120	5671	NODE_17_length_5671_cov_72.729257
kansas_SRR13928120_NODE_3_length_687405_cov_34.988325_fragment_1	SRR13928120	23179	NODE_3_length_687405_cov_34.988325_fragment_1
kansas_SRR13928120_NODE_19_length_2540_cov_98.822627	SRR13928120	2540	NODE_19_length_2540_cov_98.822627
kansas_SRR13928120_NODE_14_length_17687_cov_66.210478	SRR13928120	17687	NODE_14_length_17687_cov_66.210478
kansas_SRR13928120_NODE_20_length_2469_cov_27.805295	SRR13928120	2469	NODE_20_length_2469_cov_27.805295
kansas_SRR13928120_NODE_13_length_21165_cov_94.584038	SRR13928120	21165	NODE_13_length_21165_cov_94.584038
kansas_SRR13928120_NODE_2_length_734274_cov_34.074617_fragment_3	SRR13928120	34600	NODE_2_length_734274_cov_34.074617_fragment_3
kansas_SRR13928120_NODE_15_length_6948_cov_35.231784	SRR13928120	6948	NODE_15_length_6948_cov_35.231784
kansas_SRR13928120_NODE_10_length_76880_cov_36.918244_fragment_1	SRR13928120	10968	NODE_10_length_76880_cov_36.918244_fragment_1
kansas_SRR13928120_NODE_10_length_76880_cov_36.918244_fragment_2	SRR13928120	18152	NODE_10_length_76880_cov_36.918244_fragment_2
kansas_SRR13928120_NODE_1_length_1722991_cov_27.536796_fragment_7	SRR13928120	18269	NODE_1_length_1722991_cov_27.536796_fragment_7
kansas_SRR13928121_NODE_9_length_197883_cov_36.722512_fragment_1	SRR13928121	61736	NODE_9_length_197883_cov_36.722512_fragment_1
kansas_SRR13928121_NODE_1_length_547368_cov_27.991481_fragment_4	SRR13928121	44378	NODE_1_length_547368_cov_27.991481_fragment_4
kansas_SRR13928122_NODE_4_length_173196_cov_9.452536_fragment_1	SRR13928122	61886	NODE_4_length_173196_cov_9.452536_fragment_1
kansas_SRR13928122_NODE_10_length_134620_cov_7.782375_fragment_1	SRR13928122	47344	NODE_10_length_134620_cov_7.782375_fragment_1
kansas_SRR13928123_NODE_1_length_1297180_cov_37.130612_fragment_3	SRR13928123	46532	NODE_1_length_1297180_cov_37.130612_fragment_3
kansas_SRR13928123_NODE_1_length_1297180_cov_37.130612_fragment_7	SRR13928123	8418	NODE_1_length_1297180_cov_37.130612_fragment_7
kansas_SRR14882451_NODE_6_length_258429_cov_9.579446_fragment_1	SRR14882451	38828	NODE_6_length_258429_cov_9.579446_fragment_1
kansas_SRR14882451_NODE_14_length_78748_cov_9.326020_fragment_1	SRR14882451	29763	NODE_14_length_78748_cov_9.326020_fragment_1
kansas_SRR14882451_NODE_1_length_871264_cov_10.353132_fragment_1	SRR14882451	45479	NODE_1_length_871264_cov_10.353132_fragment_1
kansas_SRR14882451_NODE_27_length_15604_cov_10.148285	SRR14882451	15604	NODE_27_length_15604_cov_10.148285
kansas_SRR14882451_NODE_8_length_179268_cov_10.799761_fragment_2	SRR14882451	46900	NODE_8_length_179268_cov_10.799761_fragment_2
kansas_SRR14882451_NODE_11_length_137234_cov_10.827449_fragment_1	SRR14882451	55665	NODE_11_length_137234_cov_10.827449_fragment_1
kansas_SRR14882451_NODE_31_length_11781_cov_10.621761	SRR14882451	11781	NODE_31_length_11781_cov_10.621761
kansas_SRR14882452_NODE_1_length_356550_cov_9.485454_fragment_1	SRR14882452	16879	NODE_1_length_356550_cov_9.485454_fragment_1
kansas_SRR14882452_NODE_14_length_104060_cov_9.671288_fragment_2	SRR14882452	7420	NODE_14_length_104060_cov_9.671288_fragment_2
kansas_SRR14882452_NODE_98_length_1498_cov_20.111597	SRR14882452	1498	NODE_98_length_1498_cov_20.111597
kansas_SRR14882452_NODE_53_length_15892_cov_9.101237_fragment_1	SRR14882452	9299	NODE_53_length_15892_cov_9.101237_fragment_1
kansas_SRR14882452_NODE_60_length_9535_cov_12.298788	SRR14882452	9535	NODE_60_length_9535_cov_12.298788
kansas_SRR14882452_NODE_31_length_48465_cov_9.743804_fragment_1	SRR14882452	29863	NODE_31_length_48465_cov_9.743804_fragment_1
kansas_SRR14882452_NODE_18_length_97142_cov_10.137989_fragment_1	SRR14882452	21541	NODE_18_length_97142_cov_10.137989_fragment_1
kansas_SRR14882452_NODE_67_length_6390_cov_9.931343	SRR14882452	6390	NODE_67_length_6390_cov_9.931343
kansas_SRR14882452_NODE_20_length_96104_cov_10.302583_fragment_1	SRR14882452	41379	NODE_20_length_96104_cov_10.302583_fragment_1
kansas_SRR14882452_NODE_82_length_3311_cov_11.312186	SRR14882452	3311	NODE_82_length_3311_cov_11.312186
kansas_SRR14882452_NODE_16_length_101660_cov_9.200881_fragment_1	SRR14882452	18193	NODE_16_length_101660_cov_9.200881_fragment_1
kansas_SRR14882452_NODE_54_length_12346_cov_12.111057	SRR14882452	12346	NODE_54_length_12346_cov_12.111057
kansas_SRR14882452_NODE_87_length_2288_cov_10.829246	SRR14882452	2288	NODE_87_length_2288_cov_10.829246
kansas_SRR14882452_NODE_95_length_1817_cov_24.433136	SRR14882452	1817	NODE_95_length_1817_cov_24.433136
kansas_SRR14882452_NODE_47_length_20410_cov_10.456836	SRR14882452	20410	NODE_47_length_20410_cov_10.456836
kansas_SRR14882452_NODE_3_length_335179_cov_9.456508_fragment_1	SRR14882452	39719	NODE_3_length_335179_cov_9.456508_fragment_1
kansas_SRR14882452_NODE_40_length_32249_cov_10.296526_fragment_1	SRR14882452	6859	NODE_40_length_32249_cov_10.296526_fragment_1
kansas_SRR14882452_NODE_73_length_4976_cov_13.161683	SRR14882452	4976	NODE_73_length_4976_cov_13.161683
kansas_SRR14882452_NODE_50_length_17515_cov_11.370543	SRR14882452	17515	NODE_50_length_17515_cov_11.370543
kansas_SRR14882452_NODE_51_length_17030_cov_10.940129	SRR14882452	17030	NODE_51_length_17030_cov_10.940129
kansas_SRR14882452_NODE_19_length_96486_cov_9.880354_fragment_2	SRR14882452	28380	NODE_19_length_96486_cov_9.880354_fragment_2
kansas_SRR14882452_NODE_15_length_104038_cov_9.627470_fragment_1	SRR14882452	43684	NODE_15_length_104038_cov_9.627470_fragment_1
kansas_SRR14882453_NODE_10_length_149659_cov_6.356586_fragment_2	SRR14882453	17467	NODE_10_length_149659_cov_6.356586_fragment_2
kansas_SRR14882453_NODE_2_length_608283_cov_6.536811_fragment_1	SRR14882453	5369	NODE_2_length_608283_cov_6.536811_fragment_1
kansas_SRR14882453_NODE_20_length_56842_cov_6.545464	SRR14882453	56842	NODE_20_length_56842_cov_6.545464
kansas_SRR14882453_NODE_18_length_73719_cov_6.048497_fragment_1	SRR14882453	25034	NODE_18_length_73719_cov_6.048497_fragment_1
kansas_SRR14882453_NODE_35_length_23075_cov_7.929188	SRR14882453	23075	NODE_35_length_23075_cov_7.929188
kansas_SRR14882453_NODE_49_length_5280_cov_6.024064	SRR14882453	5280	NODE_49_length_5280_cov_6.024064
kansas_SRR14882453_NODE_13_length_128796_cov_6.465846_fragment_1	SRR14882453	32097	NODE_13_length_128796_cov_6.465846_fragment_1
kansas_SRR14882453_NODE_34_length_24078_cov_6.045134_fragment_1	SRR14882453	17111	NODE_34_length_24078_cov_6.045134_fragment_1
kansas_SRR14882453_NODE_51_length_4659_cov_7.392983	SRR14882453	4659	NODE_51_length_4659_cov_7.392983
kansas_SRR14882453_NODE_11_length_139203_cov_6.738891_fragment_1	SRR14882453	57597	NODE_11_length_139203_cov_6.738891_fragment_1
kansas_SRR14882453_NODE_36_length_16961_cov_5.852976	SRR14882453	16961	NODE_36_length_16961_cov_5.852976
kansas_SRR14882453_NODE_41_length_11354_cov_7.050949	SRR14882453	11354	NODE_41_length_11354_cov_7.050949
kansas_SRR14882453_NODE_60_length_2905_cov_7.978762	SRR14882453	2905	NODE_60_length_2905_cov_7.978762
kansas_SRR14882454_NODE_19_length_110389_cov_10.096117_fragment_1	SRR14882454	18522	NODE_19_length_110389_cov_10.096117_fragment_1
kansas_SRR14882454_NODE_27_length_64459_cov_8.486041_fragment_1	SRR14882454	33951	NODE_27_length_64459_cov_8.486041_fragment_1
kansas_SRR14882454_NODE_28_length_64137_cov_8.296891_fragment_1	SRR14882454	30439	NODE_28_length_64137_cov_8.296891_fragment_1
kansas_SRR14882454_NODE_36_length_41520_cov_9.450849_fragment_1	SRR14882454	23489	NODE_36_length_41520_cov_9.450849_fragment_1
kansas_SRR14882454_NODE_57_length_15214_cov_8.126135	SRR14882454	15214	NODE_57_length_15214_cov_8.126135
kansas_SRR14882454_NODE_110_length_2659_cov_8.054502	SRR14882454	2659	NODE_110_length_2659_cov_8.054502
kansas_SRR14882454_NODE_74_length_9341_cov_8.504124	SRR14882454	9341	NODE_74_length_9341_cov_8.504124
kansas_SRR14882454_NODE_90_length_6710_cov_7.891083	SRR14882454	6710	NODE_90_length_6710_cov_7.891083
kansas_SRR14882454_NODE_85_length_7300_cov_8.107347	SRR14882454	7300	NODE_85_length_7300_cov_8.107347
kansas_SRR14882454_NODE_20_length_107064_cov_8.431039_fragment_1	SRR14882454	7658	NODE_20_length_107064_cov_8.431039_fragment_1
kansas_SRR14882454_NODE_4_length_244658_cov_8.758149_fragment_2	SRR14882454	16594	NODE_4_length_244658_cov_8.758149_fragment_2
kansas_SRR14882455_NODE_22_length_79205_cov_7.773730_fragment_1	SRR14882455	17181	NODE_22_length_79205_cov_7.773730_fragment_1
kansas_SRR14882455_NODE_79_length_8743_cov_9.222145	SRR14882455	8743	NODE_79_length_8743_cov_9.222145
kansas_SRR14882455_NODE_56_length_18828_cov_8.031710	SRR14882455	18828	NODE_56_length_18828_cov_8.031710
kansas_SRR14882455_NODE_1_length_330977_cov_7.575829_fragment_1	SRR14882455	19875	NODE_1_length_330977_cov_7.575829_fragment_1
kansas_SRR14882455_NODE_105_length_4880_cov_8.811067	SRR14882455	4880	NODE_105_length_4880_cov_8.811067
kansas_SRR14882455_NODE_126_length_2538_cov_9.215678	SRR14882455	2538	NODE_126_length_2538_cov_9.215678
kansas_SRR14882456_NODE_1_length_950227_cov_7.770053_fragment_5	SRR14882456	12101	NODE_1_length_950227_cov_7.770053_fragment_5
kansas_SRR14882456_NODE_1_length_950227_cov_7.770053_fragment_3	SRR14882456	5148	NODE_1_length_950227_cov_7.770053_fragment_3
kansas_SRR14882456_NODE_1_length_950227_cov_7.770053_fragment_4	SRR14882456	13839	NODE_1_length_950227_cov_7.770053_fragment_4
kansas_SRR14882456_NODE_2_length_561483_cov_8.055095_fragment_4	SRR14882456	9443	NODE_2_length_561483_cov_8.055095_fragment_4
kansas_SRR14882456_NODE_15_length_106064_cov_8.155045_fragment_1	SRR14882456	15896	NODE_15_length_106064_cov_8.155045_fragment_1
kansas_SRR14882456_NODE_12_length_117773_cov_7.779763_fragment_2	SRR14882456	17679	NODE_12_length_117773_cov_7.779763_fragment_2
kansas_SRR14882456_NODE_18_length_64056_cov_8.249214_fragment_2	SRR14882456	9753	NODE_18_length_64056_cov_8.249214_fragment_2
kansas_SRR14882457_NODE_61_length_22389_cov_29.142121	SRR14882457	22389	NODE_61_length_22389_cov_29.142121
kansas_SRR14882457_NODE_15_length_86407_cov_28.741191_fragment_1	SRR14882457	14403	NODE_15_length_86407_cov_28.741191_fragment_1
kansas_SRR14882457_NODE_18_length_80574_cov_21.510305_fragment_2	SRR14882457	27985	NODE_18_length_80574_cov_21.510305_fragment_2
kansas_SRR14882457_NODE_13_length_86822_cov_23.601210_fragment_1	SRR14882457	28413	NODE_13_length_86822_cov_23.601210_fragment_1
kansas_SRR14882457_NODE_4_length_175122_cov_26.589620_fragment_1	SRR14882457	7278	NODE_4_length_175122_cov_26.589620_fragment_1
kansas_SRR14882457_NODE_84_length_12493_cov_25.243315	SRR14882457	12493	NODE_84_length_12493_cov_25.243315
kansas_SRR14882457_NODE_75_length_15983_cov_26.157236_fragment_1	SRR14882457	5379	NODE_75_length_15983_cov_26.157236_fragment_1
kansas_SRR14882457_NODE_12_length_87869_cov_24.570018_fragment_1	SRR14882457	26198	NODE_12_length_87869_cov_24.570018_fragment_1
kansas_SRR14882457_NODE_103_length_7375_cov_26.288983	SRR14882457	7375	NODE_103_length_7375_cov_26.288983
kansas_SRR14882457_NODE_21_length_73465_cov_23.781599_fragment_1	SRR14882457	5776	NODE_21_length_73465_cov_23.781599_fragment_1
kansas_SRR14882459_NODE_5_length_272804_cov_8.309370_fragment_1	SRR14882459	24868	NODE_5_length_272804_cov_8.309370_fragment_1
kansas_SRR14882459_NODE_53_length_6176_cov_9.953877	SRR14882459	6176	NODE_53_length_6176_cov_9.953877
kansas_SRR14882459_NODE_15_length_127357_cov_8.891354_fragment_1	SRR14882459	6916	NODE_15_length_127357_cov_8.891354_fragment_1
kansas_SRR14882459_NODE_85_length_1477_cov_9.591852	SRR14882459	1477	NODE_85_length_1477_cov_9.591852
kansas_SRR14882459_NODE_46_length_7835_cov_12.830955	SRR14882459	7835	NODE_46_length_7835_cov_12.830955
kansas_SRR14882459_NODE_67_length_3333_cov_11.429195	SRR14882459	3333	NODE_67_length_3333_cov_11.429195
kansas_SRR14882459_NODE_6_length_269410_cov_9.906663_fragment_1	SRR14882459	18635	NODE_6_length_269410_cov_9.906663_fragment_1
kansas_SRR14882459_NODE_7_length_259558_cov_9.865039_fragment_1	SRR14882459	17909	NODE_7_length_259558_cov_9.865039_fragment_1
kansas_SRR14882459_NODE_42_length_9081_cov_18.252960	SRR14882459	9081	NODE_42_length_9081_cov_18.252960
kansas_SRR14882459_NODE_16_length_126166_cov_8.800308_fragment_1	SRR14882459	42803	NODE_16_length_126166_cov_8.800308_fragment_1
kansas_SRR14882459_NODE_50_length_6740_cov_20.238016	SRR14882459	6740	NODE_50_length_6740_cov_20.238016
kansas_SRR14882459_NODE_51_length_6709_cov_11.773473	SRR14882459	6709	NODE_51_length_6709_cov_11.773473
kansas_SRR14882459_NODE_65_length_3710_cov_8.810215	SRR14882459	3710	NODE_65_length_3710_cov_8.810215
kansas_SRR14882459_NODE_59_length_4636_cov_8.472167	SRR14882459	4636	NODE_59_length_4636_cov_8.472167
kansas_SRR14882459_NODE_22_length_73488_cov_8.839588_fragment_2	SRR14882459	8119	NODE_22_length_73488_cov_8.839588_fragment_2
kansas_SRR14882459_NODE_13_length_161030_cov_10.330584_fragment_1	SRR14882459	30536	NODE_13_length_161030_cov_10.330584_fragment_1
kansas_SRR14882461_NODE_56_length_18376_cov_13.471368	SRR14882461	18376	NODE_56_length_18376_cov_13.471368
kansas_SRR14882461_NODE_24_length_76297_cov_10.588211_fragment_2	SRR14882461	23696	NODE_24_length_76297_cov_10.588211_fragment_2
kansas_SRR14882461_NODE_2_length_239464_cov_14.300689_fragment_1	SRR14882461	17839	NODE_2_length_239464_cov_14.300689_fragment_1
kansas_SRR14882461_NODE_41_length_38566_cov_14.410547_fragment_1	SRR14882461	14431	NODE_41_length_38566_cov_14.410547_fragment_1
kansas_SRR14882461_NODE_30_length_47965_cov_10.609265_fragment_1	SRR14882461	19211	NODE_30_length_47965_cov_10.609265_fragment_1
kansas_SRR14882462_NODE_52_length_3905_cov_37.278454	SRR14882462	3905	NODE_52_length_3905_cov_37.278454
kansas_SRR14882462_NODE_1_length_658804_cov_33.298441_fragment_3	SRR14882462	20529	NODE_1_length_658804_cov_33.298441_fragment_3
kansas_SRR14882462_NODE_29_length_12786_cov_42.146536	SRR14882462	12786	NODE_29_length_12786_cov_42.146536
kansas_SRR14882462_NODE_39_length_6744_cov_34.142361	SRR14882462	6744	NODE_39_length_6744_cov_34.142361
kansas_SRR14882462_NODE_31_length_12032_cov_42.360269	SRR14882462	12032	NODE_31_length_12032_cov_42.360269
kansas_SRR14882462_NODE_59_length_2875_cov_81.484352	SRR14882462	2875	NODE_59_length_2875_cov_81.484352
kansas_SRR14882462_NODE_30_length_12269_cov_39.859990	SRR14882462	12269	NODE_30_length_12269_cov_39.859990
kansas_SRR14882462_NODE_5_length_357777_cov_39.203769_fragment_2	SRR14882462	56562	NODE_5_length_357777_cov_39.203769_fragment_2
kansas_SRR14882791_NODE_39_length_7726_cov_46.334518	SRR14882791	7726	NODE_39_length_7726_cov_46.334518
kansas_SRR14882791_NODE_12_length_104481_cov_35.594285_fragment_1	SRR14882791	26731	NODE_12_length_104481_cov_35.594285_fragment_1
kansas_SRR14882791_NODE_15_length_83654_cov_34.611120_fragment_1	SRR14882791	15294	NODE_15_length_83654_cov_34.611120_fragment_1
kansas_SRR14882791_NODE_47_length_2742_cov_40.023327	SRR14882791	2742	NODE_47_length_2742_cov_40.023327
kansas_SRR14882791_NODE_28_length_29718_cov_37.141834_fragment_1	SRR14882791	9821	NODE_28_length_29718_cov_37.141834_fragment_1
kansas_SRR14882791_NODE_45_length_3856_cov_96.330652	SRR14882791	3856	NODE_45_length_3856_cov_96.330652
kansas_SRR14882791_NODE_37_length_13233_cov_94.915001	SRR14882791	13233	NODE_37_length_13233_cov_94.915001
kansas_SRR14882791_NODE_10_length_230280_cov_42.513750_fragment_1	SRR14882791	33139	NODE_10_length_230280_cov_42.513750_fragment_1
kansas_SRR14882791_NODE_44_length_3909_cov_104.215759	SRR14882791	3909	NODE_44_length_3909_cov_104.215759
kansas_SRR14882791_NODE_40_length_7533_cov_41.866865	SRR14882791	7533	NODE_40_length_7533_cov_41.866865
kansas_SRR14882791_NODE_30_length_23355_cov_39.630704	SRR14882791	23355	NODE_30_length_23355_cov_39.630704
kansas_SRR14882791_NODE_36_length_13720_cov_14.072905	SRR14882791	13720	NODE_36_length_13720_cov_14.072905
