DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Prophage Length (bp)
2021_SRR14633198_NODE_1_length_661472_cov_43.162387_fragment_4	49460
2021_SRR13697495_NODE_4_length_286286_cov_30.996848_fragment_1	49098
2021_SRR15972743_NODE_7_length_346979_cov_22.412467_fragment_1	49097
2021_SRR14568782_NODE_7_length_242351_cov_18.041478_fragment_1	48365
2021_SRR13931703_NODE_37_length_48053_cov_24.457476	48053
2021_SRR16930597_NODE_1_length_668217_cov_33.879322_fragment_1	47859
2021_SRR15209027_NODE_31_length_47816_cov_11.768889	47816
2021_SRR13380765_NODE_1_length_613325_cov_27.189683_fragment_2	47504
2021_SRR14407178_NODE_6_length_257306_cov_24.859363_fragment_1	47378
2021_SRR15209027_NODE_32_length_47234_cov_11.620205	47234
2021_SRR13931701_NODE_30_length_66531_cov_13.034531_fragment_1	46831
2021_SRR15420331_NODE_32_length_46742_cov_15.530966	46742
2021_SRR14679030_NODE_14_length_117787_cov_49.411049_fragment_1	46697
2021_SRR14407178_NODE_4_length_484120_cov_26.544204_fragment_4	46627
2021_SRR15972743_NODE_4_length_472051_cov_23.192311_fragment_3	46627
2021_SRR14097994_NODE_36_length_46526_cov_9.365029	46526
2021_SRR14097980_NODE_8_length_140113_cov_16.933336_fragment_1	46445
2021_SRR14568782_NODE_21_length_73209_cov_19.213336_fragment_1	45938
2021_SRR13379971_NODE_4_length_400253_cov_36.148081_fragment_1	45887
2021_SRR15209002_NODE_6_length_227941_cov_37.300688_fragment_2	45771
2021_SRR13380765_NODE_16_length_123138_cov_26.512369_fragment_1	45363
2021_SRR17157297_NODE_2_length_382325_cov_23.789902_fragment_2	45255
2021_SRR13628053_NODE_21_length_76998_cov_46.286064_fragment_1	45218
2021_SRR15420331_NODE_13_length_132215_cov_16.240839_fragment_1	45136
2021_SRR16918963_NODE_19_length_109139_cov_24.405405_fragment_1	44921
2021_SRR14326160_NODE_1_length_701185_cov_23.104573_fragment_2	44885
2021_SRR11487640_NODE_1_length_320049_cov_62.532202_fragment_2	44810
2021_SRR17157297_NODE_2_length_382325_cov_23.789902_fragment_1	44671
2021_SRR14633198_NODE_6_length_165347_cov_38.718515_fragment_1	44653
2021_SRR13379971_NODE_1_length_763335_cov_31.429891_fragment_1	44548
2022_SRR19656627_NODE_1_length_712022_cov_24.958997_fragment_1	168065
2022_SRR19608333_NODE_1_length_627752_cov_24.265389_fragment_1	123657
2022_SRR18653323_NODE_1_length_292988_cov_40.579756_fragment_2	122385
2022_SRR19347950_NODE_11_length_120320_cov_65.494430	120320
2022_SRR17682530_NODE_14_length_170472_cov_14.078681_fragment_1	117189
2022_SRR17682458_NODE_16_length_116488_cov_36.982185	116488
2022_SRR18264215_NODE_6_length_289460_cov_10.185731_fragment_1	114785
2022_SRR19411251_NODE_17_length_112956_cov_8.176667	112956
2022_SRR17428580_NODE_20_length_112370_cov_8.719225	112370
2022_SRR17682454_NODE_13_length_112108_cov_13.404979	112108
2022_SRR19656611_NODE_12_length_112108_cov_14.083791	112108
2022_SRR18489991_NODE_17_length_112108_cov_39.410677	112108
2022_SRR19608343_NODE_13_length_112108_cov_10.665077	112108
2022_SRR20754563_NODE_15_length_112065_cov_53.434991	112065
2022_SRR18073232_NODE_19_length_111432_cov_67.822263	111432
2022_SRR18171714_NODE_21_length_111105_cov_31.865469	111105
2022_SRR19347955_NODE_18_length_111032_cov_27.324773	111032
2022_SRR22793129_NODE_14_length_110924_cov_13.283681	110924
2022_SRR21926364_NODE_18_length_110768_cov_32.695693	110768
2022_SRR19421264_NODE_12_length_110317_cov_57.405191	110317
2022_SRR20069365_NODE_12_length_110317_cov_8.342082	110317
2022_SRR20017290_NODE_15_length_110317_cov_19.575942	110317
2022_SRR18332220_NODE_16_length_110267_cov_17.462211	110267
2022_SRR21459842_NODE_15_length_110267_cov_24.027843	110267
2022_SRR21504695_NODE_10_length_110145_cov_9.879947	110145
2022_SRR21426927_NODE_16_length_110109_cov_23.414798	110109
2022_SRR18425563_NODE_16_length_109873_cov_17.567766	109873
2022_SRR19676464_NODE_20_length_109701_cov_60.729881	109701
2022_SRR18061909_NODE_14_length_109593_cov_10.125217	109593
2022_SRR18044747_NODE_18_length_109311_cov_13.586872	109311
2022_SRR19148494_NODE_14_length_108887_cov_14.664279	108887
2022_SRR22247139_NODE_16_length_108816_cov_9.663793	108816
2022_SRR19688193_NODE_2_length_607654_cov_22.078892_fragment_3	108735
2022_SRR19512980_NODE_16_length_108593_cov_76.183274	108593
2022_SRR21220049_NODE_20_length_107897_cov_10.028728	107897
2022_SRR22543448_NODE_18_length_105338_cov_18.377546	105338
2022_SRR18099471_NODE_14_length_104733_cov_13.960193	104733
2022_SRR19908634_NODE_16_length_104628_cov_7.582530	104628
2022_SRR20114948_NODE_16_length_104628_cov_7.219596	104628
2022_SRR18649760_NODE_15_length_103897_cov_19.083791	103897
2022_SRR20753691_NODE_10_length_101831_cov_28.200828	101831
2022_SRR22666477_NODE_19_length_95557_cov_48.701351	95557
2022_SRR20698468_NODE_16_length_94548_cov_16.656104	94548
2022_SRR18425569_NODE_14_length_108551_cov_46.261686_fragment_2	92207
2022_SRR21531030_NODE_24_length_91853_cov_17.353248	91853
2022_SRR17682479_NODE_16_length_111581_cov_15.287365_fragment_2	89945
2022_SRR17535676_NODE_16_length_101939_cov_46.637155_fragment_1	89560
2022_SRR18583982_NODE_18_length_101939_cov_39.999686_fragment_1	89560
2022_SRR19347944_NODE_25_length_86263_cov_52.507279	86263
2022_SRR22666521_NODE_16_length_108254_cov_64.267959_fragment_2	84968
2022_SRR17682513_NODE_21_length_83630_cov_11.575416	83630
2022_SRR17682464_NODE_22_length_83169_cov_10.889743	83169
2022_SRR17886400_NODE_20_length_82556_cov_19.590144	82556
2022_SRR17428580_NODE_28_length_81060_cov_8.771984	81060
2022_SRR21426794_NODE_29_length_76763_cov_22.079441	76763
2022_SRR21459823_NODE_29_length_76418_cov_18.890098	76418
2022_SRR22247139_NODE_14_length_124357_cov_12.041890_fragment_1	71549
2022_SRR19549300_NODE_20_length_70453_cov_5.391582	70453
2022_SRR21491205_NODE_21_length_70140_cov_7.352763	70140
2022_SRR19221711_NODE_28_length_70046_cov_11.500307	70046
2022_SRR18230461_NODE_15_length_108720_cov_77.900122_fragment_1	70037
2022_SRR21919602_NODE_15_length_78863_cov_23.824347_fragment_1	69976
2022_SRR21531030_NODE_30_length_68282_cov_13.615362	68282
2022_SRR18469619_NODE_20_length_88792_cov_21.108690_fragment_1	65379
2022_SRR21225688_NODE_28_length_63585_cov_14.242160	63585
2022_SRR19549300_NODE_13_length_118477_cov_24.241546_fragment_2	62618
2022_SRR17845095_NODE_23_length_60120_cov_6.387829	60120
2022_SRR18230458_NODE_31_length_59896_cov_69.860931	59896
2022_SRR17682530_NODE_16_length_135209_cov_20.261597_fragment_1	59222
2022_SRR20698468_NODE_37_length_57687_cov_16.684573	57687
2022_SRR21197688_NODE_16_length_110962_cov_6.775840_fragment_2	54821
2022_SRR17682464_NODE_7_length_232071_cov_17.357220_fragment_1	54711
2022_SRR21197688_NODE_7_length_218253_cov_34.186560_fragment_1	54709
2022_SRR18073232_NODE_15_length_138236_cov_125.856867_fragment_1	54331
2022_SRR20962886_NODE_37_length_53585_cov_11.442590	53585
2022_SRR17682454_NODE_2_length_737290_cov_20.544367_fragment_2	52442
2022_SRR18489991_NODE_1_length_396963_cov_39.534596_fragment_2	52442
2022_SRR19676464_NODE_13_length_136333_cov_78.733925_fragment_1	52034
2022_SRR18171714_NODE_14_length_134813_cov_30.261601_fragment_1	51289
2022_SRR17886397_NODE_31_length_50504_cov_29.577605	50504
2022_SRR21220049_NODE_2_length_461930_cov_16.392297_fragment_2	50325
2022_SRR22741509_NODE_34_length_49581_cov_14.530675	49581
2022_SRR21607988_NODE_36_length_49204_cov_22.168918	49204
2022_SRR20962886_NODE_42_length_48775_cov_10.820959	48775
2022_SRR22666477_NODE_12_length_135818_cov_84.476960_fragment_1	48690
2022_SRR21459823_NODE_34_length_48464_cov_20.936863	48464
2022_SRR21197688_NODE_16_length_110962_cov_6.775840_fragment_1	48275
2022_SRR17682530_NODE_25_length_48258_cov_12.368723	48258
2022_SRR18073232_NODE_27_length_48077_cov_96.478853	48077
2022_SRR18649763_NODE_32_length_47839_cov_14.228727	47839
2022_SRR17682480_NODE_1_length_713801_cov_21.894023_fragment_1	47787
2022_SRR18189589_NODE_22_length_85709_cov_23.384333_fragment_1	47768
2022_SRR22741509_NODE_36_length_47645_cov_12.276758	47645
2022_SRR21531030_NODE_7_length_184340_cov_33.695011_fragment_1	47521
2022_SRR18425563_NODE_22_length_71939_cov_36.953239_fragment_1	47364
2022_SRR21220049_NODE_5_length_238903_cov_16.116905_fragment_1	47290
2022_SRR19512980_NODE_1_length_547807_cov_83.659648_fragment_1	46985
2022_SRR17839073_NODE_17_length_117794_cov_21.981813_fragment_1	46704
2022_SRR18099471_NODE_18_length_46573_cov_41.507708	46573
2022_SRR19549300_NODE_22_length_46303_cov_8.534093	46303
2023_SRR23701015_NODE_19_length_113725_cov_10.679818	113725
2023_SRR25553989_NODE_16_length_112969_cov_5.739725	112969
2023_SRR24401747_NODE_16_length_112583_cov_35.756484	112583
2023_SRR24082548_NODE_18_length_112380_cov_7.802953	112380
2023_SRR26043622_NODE_13_length_112287_cov_19.257944	112287
2023_SRR24001362_NODE_14_length_112138_cov_37.012252	112138
2023_SRR24154347_NODE_14_length_112108_cov_20.308356	112108
2023_SRR24316119_NODE_12_length_112108_cov_31.403426	112108
2023_SRR26375619_NODE_14_length_112108_cov_10.436619	112108
2023_SRR23874470_NODE_14_length_112108_cov_32.751020	112108
2023_SRR25074711_NODE_12_length_112108_cov_7.924282	112108
2023_SRR25944690_NODE_12_length_112108_cov_22.705772	112108
2023_SRR23794804_NODE_16_length_112031_cov_182.988192	112031
2023_SRR25945543_NODE_14_length_112031_cov_185.532460	112031
2023_SRR25038618_NODE_16_length_111946_cov_12.456311	111946
2023_SRR26980452_NODE_18_length_111855_cov_36.790411	111855
2023_SRR23061419_NODE_8_length_111784_cov_12.492813	111784
2023_SRR27242049_NODE_13_length_111655_cov_11.502815	111655
2023_SRR23890740_NODE_13_length_111525_cov_6.522038	111525
2023_SRR23601504_NODE_14_length_111460_cov_36.143587	111460
2023_SRR25406509_NODE_11_length_111360_cov_30.026701	111360
2023_SRR24316111_NODE_21_length_111249_cov_14.015218	111249
2023_SRR24874982_NODE_3_length_111165_cov_11.390299	111165
2023_SRR24196170_NODE_17_length_110722_cov_16.475329	110722
2023_SRR23558674_NODE_14_length_110580_cov_63.917866	110580
2023_SRR26217385_NODE_17_length_110358_cov_7.871673	110358
2023_SRR26752582_NODE_15_length_110317_cov_38.507696	110317
2023_SRR23000007_NODE_16_length_110120_cov_34.500332	110120
2023_SRR25978990_NODE_18_length_109795_cov_24.630580	109795
2023_SRR26849454_NODE_18_length_109598_cov_35.020005	109598
2023_SRR23905936_NODE_16_length_109512_cov_94.897472	109512
2023_SRR26955361_NODE_15_length_109416_cov_18.228861	109416
2023_SRR23191216_NODE_15_length_109313_cov_23.713938	109313
2023_SRR25184333_NODE_15_length_108670_cov_28.358512	108670
2023_SRR24481504_NODE_18_length_107980_cov_6.106831	107980
2023_SRR23686995_NODE_12_length_107936_cov_43.471426	107936
2023_SRR25788437_NODE_19_length_107713_cov_48.077194	107713
2023_SRR26969855_NODE_17_length_107331_cov_5.541024	107331
2023_SRR26807346_NODE_14_length_107297_cov_25.302930	107297
2023_SRR23794784_NODE_18_length_109536_cov_84.544624_fragment_1	107142
2023_SRR26807357_NODE_19_length_105296_cov_11.378553	105296
2023_SRR23677037_NODE_15_length_113377_cov_14.010773_fragment_1	104811
2023_SRR25788695_NODE_11_length_119449_cov_128.769397_fragment_2	99386
2023_SRR23601508_NODE_15_length_106112_cov_50.059952_fragment_1	99042
2023_SRR23794784_NODE_20_length_97495_cov_83.196237	97495
2023_SRR24316111_NODE_22_length_96569_cov_11.643371	96569
2023_SRR23035076_NODE_15_length_96567_cov_5.108627	96567
2023_SRR24481504_NODE_21_length_94644_cov_5.056244	94644
2023_SRR23374644_NODE_19_length_94042_cov_39.273577	94042
2023_SRR24883460_NODE_16_length_88629_cov_13.970080	88629
2023_SRR23353010_NODE_23_length_86263_cov_38.833658	86263
2023_SRR23191216_NODE_23_length_84458_cov_16.996775	84458
2023_SRR24223998_NODE_23_length_83605_cov_31.781368	83605
2023_SRR24883459_NODE_26_length_73591_cov_16.316182	73591
2023_SRR24034336_NODE_21_length_71916_cov_6.582652	71916
2023_SRR24224033_NODE_23_length_71563_cov_13.852147	71563
2023_SRR26639446_NODE_22_length_68454_cov_8.304389	68454
2023_SRR24298963_NODE_25_length_67240_cov_11.055179	67240
2023_SRR23035077_NODE_25_length_67053_cov_10.074261	67053
2023_SRR26807357_NODE_2_length_414685_cov_11.930774_fragment_1	65355
2023_SRR25788437_NODE_30_length_64709_cov_54.449212	64709
2023_SRR24082548_NODE_24_length_63210_cov_6.206105	63210
2023_SRR23558682_NODE_8_length_235575_cov_38.701624_fragment_1	61293
2023_SRR23794777_NODE_7_length_194337_cov_456.071754_fragment_1	60965
2023_SRR24882990_NODE_21_length_96001_cov_48.445856_fragment_1	60965
2023_SRR23558682_NODE_15_length_111431_cov_74.000754_fragment_2	60509
2023_SRR23601504_NODE_2_length_682042_cov_29.227921_fragment_1	59711
2023_SRR26955361_NODE_3_length_396117_cov_35.326382_fragment_1	58244
2023_SRR26980449_NODE_25_length_56818_cov_45.403785	56818
2023_SRR26453414_NODE_6_length_202789_cov_52.772972_fragment_1	56782
2023_SRR26453414_NODE_30_length_56117_cov_24.448580	56117
2023_SRR24316110_NODE_24_length_55812_cov_8.687654	55812
2023_SRR23035077_NODE_2_length_539302_cov_20.904439_fragment_3	54367
2023_SRR26453229_NODE_3_length_213012_cov_18.887233_fragment_1	54308
2023_SRR26453414_NODE_31_length_53398_cov_23.813182	53398
2023_SRR26807346_NODE_5_length_291190_cov_30.378159_fragment_1	53230
2023_SRR24882990_NODE_27_length_78048_cov_22.353153_fragment_1	52781
2023_SRR23000007_NODE_1_length_394798_cov_35.459570_fragment_2	52442
2023_SRR23677037_NODE_14_length_125540_cov_29.407159_fragment_1	50265
2023_SRR26453229_NODE_35_length_49877_cov_4.458635	49877
2023_SRR24001362_NODE_21_length_49775_cov_33.161053	49775
2023_SRR24316110_NODE_28_length_49349_cov_8.663687	49349
2023_SRR23191216_NODE_29_length_58044_cov_31.933974_fragment_1	48893
2023_SRR23905936_NODE_26_length_61226_cov_68.424017_fragment_1	48828
2023_SRR26980449_NODE_28_length_48586_cov_44.503477	48586
2023_SRR23035077_NODE_2_length_539302_cov_20.904439_fragment_2	47242
2023_SRR26760705_NODE_25_length_85080_cov_26.834473_fragment_1	47143
2023_SRR24347440_NODE_24_length_85078_cov_27.237537_fragment_1	47142
2023_SRR25553989_NODE_7_length_284005_cov_20.139644_fragment_1	46928
2023_SRR23890740_NODE_6_length_469485_cov_17.659825_fragment_3	46817
2023_SRR23794777_NODE_28_length_68435_cov_183.486498_fragment_2	46449
2023_SRR23374644_NODE_1_length_351870_cov_36.274539_fragment_1	46441
2023_SRR23558682_NODE_3_length_464088_cov_35.868477_fragment_1	45480
2023_SRR24401747_NODE_1_length_569583_cov_30.053169_fragment_6	45250
2023_SRR25396836_NODE_30_length_65222_cov_26.191167_fragment_2	45070
2023_SRR26980452_NODE_4_length_334775_cov_26.983672_fragment_1	45061
2023_SRR27186957_NODE_3_length_542994_cov_19.397464_fragment_1	44774
2023_SRR23601504_NODE_3_length_441091_cov_27.846665_fragment_1	44742
2023_SRR23558682_NODE_15_length_111431_cov_74.000754_fragment_1	44726
2023_SRR24481504_NODE_1_length_462726_cov_21.922443_fragment_2	44701
2024_SRR28568741_NODE_10_length_204512_cov_17.932241_fragment_1	148657
2024_SRR31668033_NODE_6_length_219420_cov_22.154379_fragment_1	124347
2024_SRR31200028_NODE_2_length_640728_cov_7.882971_fragment_1	121616
2024_SRR28568664_NODE_1_length_786041_cov_47.544577_fragment_1	120806
2024_SRR28564711_NODE_11_length_133219_cov_24.863816_fragment_1	115593
2024_SRR29317435_NODE_15_length_114116_cov_11.092737	114116
2024_SRR29220782_NODE_15_length_114032_cov_9.559870	114032
2024_SRR28813868_NODE_18_length_112239_cov_28.151714	112239
2024_SRR31589774_NODE_15_length_112160_cov_24.066668	112160
2024_SRR30866489_NODE_13_length_112132_cov_24.202463	112132
2024_SRR30025890_NODE_21_length_112092_cov_22.999705	112092
2024_SRR28559362_NODE_16_length_112041_cov_15.780930	112041
2024_SRR28568640_NODE_13_length_111668_cov_15.865951	111668
2024_SRR28564752_NODE_16_length_111328_cov_18.390860	111328
2024_SRR30527324_NODE_18_length_110972_cov_7.204132	110972
2024_SRR30852370_NODE_16_length_110773_cov_10.998626	110773
2024_SRR31668342_NODE_18_length_110659_cov_25.551171	110659
2024_SRR31781786_NODE_11_length_110458_cov_201.530001	110458
2024_SRR28564788_NODE_16_length_110333_cov_29.306290	110333
2024_SRR27718787_NODE_17_length_110003_cov_7.641769	110003
2024_SRR28559375_NODE_15_length_109944_cov_11.468288	109944
2024_SRR31713814_NODE_16_length_109880_cov_18.946945	109880
2024_SRR28587192_NODE_18_length_109880_cov_28.765164	109880
2024_SRR28564731_NODE_19_length_109734_cov_17.849033	109734
2024_SRR31857649_NODE_15_length_109670_cov_63.696696	109670
2024_SRR30905178_NODE_12_length_109592_cov_11.664943	109592
2024_SRR30276941_NODE_19_length_109528_cov_19.154992	109528
2024_SRR31857656_NODE_20_length_109515_cov_72.064283	109515
2024_SRR28564726_NODE_20_length_109407_cov_13.884682	109407
2024_SRR29742088_NODE_18_length_109259_cov_86.484604	109259
2024_SRR28564754_NODE_18_length_109175_cov_6.430985	109175
2024_SRR30274762_NODE_10_length_109079_cov_18.451680	109079
2024_SRR27683422_NODE_18_length_109078_cov_17.003589	109078
2024_SRR28790831_NODE_16_length_109032_cov_55.265387	109032
2024_SRR28790824_NODE_19_length_108954_cov_80.880039	108954
2024_SRR28564606_NODE_13_length_108953_cov_17.271737	108953
2024_SRR28769299_NODE_17_length_108882_cov_6.463372	108882
2024_SRR27506760_NODE_14_length_111179_cov_26.341984_fragment_1	108715
2024_SRR28587288_NODE_16_length_108690_cov_17.776572	108690
2024_SRR31175033_NODE_14_length_108437_cov_16.470908	108437
2024_SRR28204944_NODE_16_length_107999_cov_39.920100	107999
2024_SRR28409152_NODE_15_length_107625_cov_40.809810	107625
2024_SRR29533399_NODE_18_length_107140_cov_6.868511	107140
2024_SRR28564645_NODE_19_length_106992_cov_18.108324	106992
2024_SRR31221272_NODE_20_length_106871_cov_31.486319	106871
2024_SRR30210875_NODE_1_length_106762_cov_26.617518	106762
2024_SRR28276900_NODE_19_length_106732_cov_218.191533	106732
2024_SRR31857637_NODE_18_length_106514_cov_163.005675	106514
2024_SRR29743668_NODE_11_length_106267_cov_109.042951	106267
2024_SRR28564740_NODE_20_length_105297_cov_11.421679	105297
2024_SRR30519685_NODE_18_length_105247_cov_28.576522	105247
2024_SRR27506768_NODE_17_length_105527_cov_12.747543_fragment_1	103737
2024_SRR31668392_NODE_16_length_103045_cov_35.053363	103045
2024_SRR29318345_NODE_17_length_102029_cov_12.216954	102029
2024_SRR31810024_NODE_16_length_101831_cov_42.527344	101831
2024_SRR28248536_NODE_18_length_99321_cov_76.702330	99321
2024_SRR29234661_NODE_14_length_98248_cov_13.552644	98248
2024_SRR29644562_NODE_18_length_97667_cov_25.602850	97667
2024_SRR28564611_NODE_23_length_97477_cov_15.449574	97477
2024_SRR27683422_NODE_19_length_95635_cov_20.701847	95635
2024_SRR30041521_NODE_21_length_93414_cov_19.827678	93414
2024_SRR31175033_NODE_16_length_93268_cov_14.459808	93268
2024_SRR28790831_NODE_19_length_91954_cov_63.173326	91954
2024_SRR28568640_NODE_15_length_91696_cov_16.014328	91696
2024_SRR31200028_NODE_20_length_91340_cov_10.256051	91340
2024_SRR29318345_NODE_23_length_87867_cov_10.336608	87867
2024_SRR31680693_NODE_24_length_83893_cov_18.406263	83893
2024_SRR28587288_NODE_22_length_81928_cov_19.859635	81928
2024_SRR28048226_NODE_2_length_275713_cov_5.051269_fragment_1	75837
2024_SRR28032546_NODE_16_length_72782_cov_11.513660	72782
2024_SRR31221272_NODE_29_length_70541_cov_32.264092	70541
2024_SRR29400060_NODE_28_length_69255_cov_82.233629	69255
2024_SRR28790819_NODE_26_length_68900_cov_4.967749	68900
2024_SRR27408791_NODE_1_length_779069_cov_23.196137_fragment_2	68620
2024_SRR28564752_NODE_30_length_66943_cov_14.064984	66943
2024_SRR28475327_NODE_23_length_65270_cov_5.728897	65270
2024_SRR29742098_NODE_30_length_64064_cov_134.148718	64064
2024_SRR28568595_NODE_17_length_113672_cov_18.836858_fragment_2	63894
2024_SRR31200028_NODE_2_length_640728_cov_7.882971_fragment_2	62486
2024_SRR27506742_NODE_25_length_61312_cov_8.531428	61312
2024_SRR29533399_NODE_1_length_553460_cov_26.914639_fragment_2	59775
2024_SRR28559315_NODE_14_length_135208_cov_14.892635_fragment_1	59221
2024_SRR31282789_NODE_32_length_58267_cov_22.041692	58267
2024_SRR28559315_NODE_20_length_81747_cov_14.354815_fragment_1	58183
2024_SRR28559362_NODE_15_length_134012_cov_31.601143_fragment_1	58025
2024_SRR29742098_NODE_10_length_144155_cov_302.137904_fragment_1	57467
2024_SRR27988805_NODE_25_length_57390_cov_21.450448	57390
2024_SRR28860562_NODE_27_length_57122_cov_17.128625	57122
2024_SRR28204944_NODE_12_length_136985_cov_46.159501_fragment_1	55392
2024_SRR27506760_NODE_2_length_524512_cov_26.851708_fragment_3	54711
2024_SRR28564740_NODE_31_length_53782_cov_10.084466	53782
2024_SRR28032546_NODE_18_length_53273_cov_20.512870	53273
2024_SRR28813876_NODE_24_length_52939_cov_41.571291	52939
2024_SRR28587288_NODE_2_length_212405_cov_17.331772_fragment_1	52410
2024_SRR28475426_NODE_31_length_51849_cov_3.668740	51849
2024_SRR28559315_NODE_27_length_51441_cov_12.284406	51441
2024_SRR28860562_NODE_14_length_115423_cov_17.765256_fragment_1	50039
2024_SRR31668342_NODE_5_length_306585_cov_23.698105_fragment_1	49595
2024_SRR31781788_NODE_33_length_49483_cov_31.038963	49483
2024_SRR31556355_NODE_34_length_49322_cov_19.880008	49322
