DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Prophage Length (bp)
kansas_SRR13928119_NODE_27_length_21645_cov_3.702156	21645
kansas_SRR13928119_NODE_8_length_217327_cov_21.028900_fragment_1	33765
kansas_SRR13928119_NODE_35_length_8762_cov_28.342444	8762
kansas_SRR13928119_NODE_18_length_89268_cov_23.297248_fragment_1	24831
kansas_SRR13928119_NODE_7_length_268982_cov_21.952778_fragment_1	36893
kansas_SRR13928119_NODE_49_length_3301_cov_2.916509	3301
kansas_SRR13928119_NODE_26_length_26957_cov_3.435110	26957
kansas_SRR13928119_NODE_54_length_1882_cov_24.305983	1882
kansas_SRR13928119_NODE_30_length_16557_cov_3.569811	16557
kansas_SRR13928119_NODE_45_length_5211_cov_26.707514	5211
kansas_SRR13928119_NODE_33_length_10607_cov_25.039981	10607
kansas_SRR13928119_NODE_1_length_868778_cov_23.444690_fragment_1	20955
kansas_SRR13928119_NODE_1_length_868778_cov_23.444690_fragment_2	31463
kansas_SRR13928119_NODE_47_length_4040_cov_3.932533	4040
kansas_SRR13928120_NODE_17_length_5671_cov_72.729257	5671
kansas_SRR13928120_NODE_3_length_687405_cov_34.988325_fragment_1	23179
kansas_SRR13928120_NODE_19_length_2540_cov_98.822627	2540
kansas_SRR13928120_NODE_14_length_17687_cov_66.210478	17687
kansas_SRR13928120_NODE_20_length_2469_cov_27.805295	2469
kansas_SRR13928120_NODE_13_length_21165_cov_94.584038	21165
kansas_SRR13928120_NODE_2_length_734274_cov_34.074617_fragment_3	34600
kansas_SRR13928120_NODE_15_length_6948_cov_35.231784	6948
kansas_SRR13928120_NODE_10_length_76880_cov_36.918244_fragment_1	10968
kansas_SRR13928120_NODE_10_length_76880_cov_36.918244_fragment_2	18152
kansas_SRR13928120_NODE_1_length_1722991_cov_27.536796_fragment_7	18269
kansas_SRR13928121_NODE_9_length_197883_cov_36.722512_fragment_1	61736
kansas_SRR13928121_NODE_1_length_547368_cov_27.991481_fragment_4	44378
kansas_SRR13928122_NODE_4_length_173196_cov_9.452536_fragment_1	61886
kansas_SRR13928122_NODE_10_length_134620_cov_7.782375_fragment_1	47344
kansas_SRR13928123_NODE_1_length_1297180_cov_37.130612_fragment_3	46532
kansas_SRR13928123_NODE_1_length_1297180_cov_37.130612_fragment_7	8418
kansas_SRR14882451_NODE_6_length_258429_cov_9.579446_fragment_1	38828
kansas_SRR14882451_NODE_14_length_78748_cov_9.326020_fragment_1	29763
kansas_SRR14882451_NODE_1_length_871264_cov_10.353132_fragment_1	45479
kansas_SRR14882451_NODE_27_length_15604_cov_10.148285	15604
kansas_SRR14882451_NODE_8_length_179268_cov_10.799761_fragment_2	46900
kansas_SRR14882451_NODE_11_length_137234_cov_10.827449_fragment_1	55665
kansas_SRR14882451_NODE_31_length_11781_cov_10.621761	11781
kansas_SRR14882452_NODE_1_length_356550_cov_9.485454_fragment_1	16879
kansas_SRR14882452_NODE_14_length_104060_cov_9.671288_fragment_2	7420
kansas_SRR14882452_NODE_98_length_1498_cov_20.111597	1498
kansas_SRR14882452_NODE_53_length_15892_cov_9.101237_fragment_1	9299
kansas_SRR14882452_NODE_60_length_9535_cov_12.298788	9535
kansas_SRR14882452_NODE_31_length_48465_cov_9.743804_fragment_1	29863
kansas_SRR14882452_NODE_18_length_97142_cov_10.137989_fragment_1	21541
kansas_SRR14882452_NODE_67_length_6390_cov_9.931343	6390
kansas_SRR14882452_NODE_20_length_96104_cov_10.302583_fragment_1	41379
kansas_SRR14882452_NODE_82_length_3311_cov_11.312186	3311
kansas_SRR14882452_NODE_16_length_101660_cov_9.200881_fragment_1	18193
kansas_SRR14882452_NODE_54_length_12346_cov_12.111057	12346
kansas_SRR14882452_NODE_87_length_2288_cov_10.829246	2288
kansas_SRR14882452_NODE_95_length_1817_cov_24.433136	1817
kansas_SRR14882452_NODE_47_length_20410_cov_10.456836	20410
kansas_SRR14882452_NODE_3_length_335179_cov_9.456508_fragment_1	39719
kansas_SRR14882452_NODE_40_length_32249_cov_10.296526_fragment_1	6859
kansas_SRR14882452_NODE_73_length_4976_cov_13.161683	4976
kansas_SRR14882452_NODE_50_length_17515_cov_11.370543	17515
kansas_SRR14882452_NODE_51_length_17030_cov_10.940129	17030
kansas_SRR14882452_NODE_19_length_96486_cov_9.880354_fragment_2	28380
kansas_SRR14882452_NODE_15_length_104038_cov_9.627470_fragment_1	43684
kansas_SRR14882453_NODE_10_length_149659_cov_6.356586_fragment_2	17467
kansas_SRR14882453_NODE_2_length_608283_cov_6.536811_fragment_1	5369
kansas_SRR14882453_NODE_20_length_56842_cov_6.545464	56842
kansas_SRR14882453_NODE_18_length_73719_cov_6.048497_fragment_1	25034
kansas_SRR14882453_NODE_35_length_23075_cov_7.929188	23075
kansas_SRR14882453_NODE_49_length_5280_cov_6.024064	5280
kansas_SRR14882453_NODE_13_length_128796_cov_6.465846_fragment_1	32097
kansas_SRR14882453_NODE_34_length_24078_cov_6.045134_fragment_1	17111
kansas_SRR14882453_NODE_51_length_4659_cov_7.392983	4659
kansas_SRR14882453_NODE_11_length_139203_cov_6.738891_fragment_1	57597
kansas_SRR14882453_NODE_36_length_16961_cov_5.852976	16961
kansas_SRR14882453_NODE_41_length_11354_cov_7.050949	11354
kansas_SRR14882453_NODE_60_length_2905_cov_7.978762	2905
kansas_SRR14882454_NODE_19_length_110389_cov_10.096117_fragment_1	18522
kansas_SRR14882454_NODE_27_length_64459_cov_8.486041_fragment_1	33951
kansas_SRR14882454_NODE_28_length_64137_cov_8.296891_fragment_1	30439
kansas_SRR14882454_NODE_36_length_41520_cov_9.450849_fragment_1	23489
kansas_SRR14882454_NODE_57_length_15214_cov_8.126135	15214
kansas_SRR14882454_NODE_110_length_2659_cov_8.054502	2659
kansas_SRR14882454_NODE_74_length_9341_cov_8.504124	9341
kansas_SRR14882454_NODE_90_length_6710_cov_7.891083	6710
kansas_SRR14882454_NODE_85_length_7300_cov_8.107347	7300
kansas_SRR14882454_NODE_20_length_107064_cov_8.431039_fragment_1	7658
kansas_SRR14882454_NODE_4_length_244658_cov_8.758149_fragment_2	16594
kansas_SRR14882455_NODE_22_length_79205_cov_7.773730_fragment_1	17181
kansas_SRR14882455_NODE_79_length_8743_cov_9.222145	8743
kansas_SRR14882455_NODE_56_length_18828_cov_8.031710	18828
kansas_SRR14882455_NODE_1_length_330977_cov_7.575829_fragment_1	19875
kansas_SRR14882455_NODE_105_length_4880_cov_8.811067	4880
kansas_SRR14882455_NODE_126_length_2538_cov_9.215678	2538
kansas_SRR14882456_NODE_1_length_950227_cov_7.770053_fragment_5	12101
kansas_SRR14882456_NODE_1_length_950227_cov_7.770053_fragment_3	5148
kansas_SRR14882456_NODE_1_length_950227_cov_7.770053_fragment_4	13839
kansas_SRR14882456_NODE_2_length_561483_cov_8.055095_fragment_4	9443
kansas_SRR14882456_NODE_15_length_106064_cov_8.155045_fragment_1	15896
kansas_SRR14882456_NODE_12_length_117773_cov_7.779763_fragment_2	17679
kansas_SRR14882456_NODE_18_length_64056_cov_8.249214_fragment_2	9753
kansas_SRR14882457_NODE_61_length_22389_cov_29.142121	22389
kansas_SRR14882457_NODE_15_length_86407_cov_28.741191_fragment_1	14403
kansas_SRR14882457_NODE_18_length_80574_cov_21.510305_fragment_2	27985
kansas_SRR14882457_NODE_13_length_86822_cov_23.601210_fragment_1	28413
kansas_SRR14882457_NODE_4_length_175122_cov_26.589620_fragment_1	7278
kansas_SRR14882457_NODE_84_length_12493_cov_25.243315	12493
kansas_SRR14882457_NODE_75_length_15983_cov_26.157236_fragment_1	5379
kansas_SRR14882457_NODE_12_length_87869_cov_24.570018_fragment_1	26198
kansas_SRR14882457_NODE_103_length_7375_cov_26.288983	7375
kansas_SRR14882457_NODE_21_length_73465_cov_23.781599_fragment_1	5776
kansas_SRR14882459_NODE_5_length_272804_cov_8.309370_fragment_1	24868
kansas_SRR14882459_NODE_53_length_6176_cov_9.953877	6176
kansas_SRR14882459_NODE_15_length_127357_cov_8.891354_fragment_1	6916
kansas_SRR14882459_NODE_85_length_1477_cov_9.591852	1477
kansas_SRR14882459_NODE_46_length_7835_cov_12.830955	7835
kansas_SRR14882459_NODE_67_length_3333_cov_11.429195	3333
kansas_SRR14882459_NODE_6_length_269410_cov_9.906663_fragment_1	18635
kansas_SRR14882459_NODE_7_length_259558_cov_9.865039_fragment_1	17909
kansas_SRR14882459_NODE_42_length_9081_cov_18.252960	9081
kansas_SRR14882459_NODE_16_length_126166_cov_8.800308_fragment_1	42803
kansas_SRR14882459_NODE_50_length_6740_cov_20.238016	6740
kansas_SRR14882459_NODE_51_length_6709_cov_11.773473	6709
kansas_SRR14882459_NODE_65_length_3710_cov_8.810215	3710
kansas_SRR14882459_NODE_59_length_4636_cov_8.472167	4636
kansas_SRR14882459_NODE_22_length_73488_cov_8.839588_fragment_2	8119
kansas_SRR14882459_NODE_13_length_161030_cov_10.330584_fragment_1	30536
kansas_SRR14882461_NODE_56_length_18376_cov_13.471368	18376
kansas_SRR14882461_NODE_24_length_76297_cov_10.588211_fragment_2	23696
kansas_SRR14882461_NODE_2_length_239464_cov_14.300689_fragment_1	17839
kansas_SRR14882461_NODE_41_length_38566_cov_14.410547_fragment_1	14431
kansas_SRR14882461_NODE_30_length_47965_cov_10.609265_fragment_1	19211
kansas_SRR14882462_NODE_52_length_3905_cov_37.278454	3905
kansas_SRR14882462_NODE_1_length_658804_cov_33.298441_fragment_3	20529
kansas_SRR14882462_NODE_29_length_12786_cov_42.146536	12786
kansas_SRR14882462_NODE_39_length_6744_cov_34.142361	6744
kansas_SRR14882462_NODE_31_length_12032_cov_42.360269	12032
kansas_SRR14882462_NODE_59_length_2875_cov_81.484352	2875
kansas_SRR14882462_NODE_30_length_12269_cov_39.859990	12269
kansas_SRR14882462_NODE_5_length_357777_cov_39.203769_fragment_2	56562
kansas_SRR14882791_NODE_39_length_7726_cov_46.334518	7726
kansas_SRR14882791_NODE_12_length_104481_cov_35.594285_fragment_1	26731
kansas_SRR14882791_NODE_15_length_83654_cov_34.611120_fragment_1	15294
kansas_SRR14882791_NODE_47_length_2742_cov_40.023327	2742
kansas_SRR14882791_NODE_28_length_29718_cov_37.141834_fragment_1	9821
kansas_SRR14882791_NODE_45_length_3856_cov_96.330652	3856
kansas_SRR14882791_NODE_37_length_13233_cov_94.915001	13233
kansas_SRR14882791_NODE_10_length_230280_cov_42.513750_fragment_1	33139
kansas_SRR14882791_NODE_44_length_3909_cov_104.215759	3909
kansas_SRR14882791_NODE_40_length_7533_cov_41.866865	7533
kansas_SRR14882791_NODE_30_length_23355_cov_39.630704	23355
kansas_SRR14882791_NODE_36_length_13720_cov_14.072905	13720
kansas_SRR14882791_NODE_9_length_231300_cov_38.817033_fragment_1	18525
kansas_SRR14883383_NODE_2_length_333631_cov_31.000534_fragment_1	5863
kansas_SRR14883383_NODE_17_length_113790_cov_25.638713_fragment_1	34963
kansas_SRR14883383_NODE_16_length_113922_cov_30.005490_fragment_1	8270
kansas_SRR14883383_NODE_34_length_42729_cov_30.059481_fragment_1	9688
kansas_SRR14883383_NODE_45_length_13086_cov_36.051657	13086
kansas_SRR14883383_NODE_7_length_200640_cov_26.607784_fragment_2	8606
kansas_SRR14883383_NODE_43_length_16415_cov_29.358918	16415
kansas_SRR14883383_NODE_30_length_54974_cov_7.759859	54974
kansas_SRR14883383_NODE_26_length_81864_cov_28.157103_fragment_1	24480
kansas_SRR14883383_NODE_54_length_4505_cov_7.572719	4505
kansas_SRR14883383_NODE_68_length_1698_cov_27.059840	1698
kansas_SRR14883383_NODE_37_length_33475_cov_7.626235	33475
kansas_SRR14883383_NODE_22_length_92089_cov_27.234198_fragment_1	13629
kansas_SRR14883384_NODE_19_length_102509_cov_29.383152_fragment_1	46921
kansas_SRR14883384_NODE_15_length_111830_cov_25.801240_fragment_1	8483
kansas_SRR14883384_NODE_10_length_130048_cov_26.931823_fragment_1	46683
kansas_SRR14883384_NODE_58_length_25413_cov_30.419443_fragment_1	11110
kansas_SRR14883384_NODE_52_length_27797_cov_27.929762_fragment_1	4468
kansas_SRR14883384_NODE_3_length_191715_cov_25.979159_fragment_2	10523
kansas_SRR14883384_NODE_3_length_191715_cov_25.979159_fragment_1	44606
kansas_SRR14883384_NODE_90_length_7222_cov_25.849965	7222
kansas_SRR14883384_NODE_37_length_48078_cov_24.535510_fragment_1	42752
kansas_SRR14883384_NODE_65_length_18169_cov_34.154543	18169
kansas_SRR14883384_NODE_64_length_21533_cov_28.681208	21533
kansas_SRR14883385_NODE_7_length_161759_cov_28.085829_fragment_1	31995
kansas_SRR14883385_NODE_50_length_23796_cov_22.028205	23796
kansas_SRR14883385_NODE_32_length_59355_cov_17.469162_fragment_1	19228
kansas_SRR14883385_NODE_44_length_30697_cov_22.201045_fragment_1	4719
kansas_SRR14883385_NODE_65_length_12360_cov_30.661809	12360
kansas_SRR14883385_NODE_97_length_2388_cov_3.892254	2388
kansas_SRR14883385_NODE_22_length_86008_cov_28.980054_fragment_1	22040
kansas_SRR14883385_NODE_93_length_3055_cov_35.048019	3055
kansas_SRR14883386_NODE_94_length_10361_cov_22.287145	10361
kansas_SRR14883386_NODE_8_length_137337_cov_28.360061_fragment_2	33167
kansas_SRR14883386_NODE_74_length_17993_cov_32.614032	17993
kansas_SRR14883386_NODE_71_length_19798_cov_23.664114	19798
kansas_SRR14883386_NODE_59_length_23474_cov_27.214515_fragment_1	11518
kansas_SRR14883386_NODE_43_length_36053_cov_26.479014_fragment_1	10111
kansas_SRR14883386_NODE_42_length_36469_cov_27.046933	36469
kansas_SRR14883386_NODE_95_length_9951_cov_38.042435	9951
kansas_SRR14883386_NODE_67_length_20852_cov_25.506378_fragment_1	10983
kansas_SRR14883386_NODE_60_length_22839_cov_30.896494	22839
kansas_SRR14883386_NODE_164_length_1450_cov_64.351056	1450
kansas_SRR14883386_NODE_124_length_3941_cov_5.074017	3941
kansas_SRR14883386_NODE_102_length_7588_cov_36.088537	7588
kansas_SRR14883387_NODE_1_length_158279_cov_21.356361_fragment_1	5401
kansas_SRR14883387_NODE_153_length_4283_cov_2.225868	4283
kansas_SRR14883387_NODE_116_length_8175_cov_22.065201	8175
kansas_SRR14883387_NODE_98_length_11098_cov_2.961256	11098
kansas_SRR14883387_NODE_61_length_23880_cov_22.846742	23880
kansas_SRR14883387_NODE_70_length_19993_cov_24.497891	19993
kansas_SRR14883387_NODE_29_length_64150_cov_25.441887_fragment_1	37456
kansas_SRR14883387_NODE_77_length_17823_cov_20.680717	17823
kansas_SRR14883387_NODE_184_length_2869_cov_2.379656	2869
kansas_SRR14883387_NODE_16_length_97997_cov_21.033231_fragment_1	22214
kansas_SRR14883387_NODE_167_length_3518_cov_2.454519	3518
kansas_SRR14883387_NODE_134_length_5565_cov_2.867711	5565
kansas_SRR14883387_NODE_143_length_4966_cov_2.853140	4966
kansas_SRR14883387_NODE_144_length_4859_cov_27.369720	4859
kansas_SRR14883387_NODE_115_length_8220_cov_45.960334	8220
kansas_SRR14883387_NODE_112_length_8896_cov_19.964055	8896
kansas_SRR14883387_NODE_131_length_5733_cov_2.580976	5733
kansas_SRR14883387_NODE_202_length_2153_cov_23.988439	2153
kansas_SRR14883387_NODE_188_length_2589_cov_26.109076	2589
kansas_SRR14883387_NODE_214_length_1696_cov_2.999382	1696
kansas_SRR14883387_NODE_36_length_56003_cov_21.306691_fragment_1	28655
kansas_SRR14883387_NODE_65_length_23202_cov_20.425124	23202
kansas_SRR14883387_NODE_148_length_4553_cov_2.698168	4553
kansas_SRR14883387_NODE_72_length_18874_cov_24.046816	18874
kansas_SRR14883387_NODE_120_length_6454_cov_59.276619	6454
kansas_SRR14883387_NODE_182_length_2954_cov_4.102190	2954
kansas_SRR14883387_NODE_58_length_29670_cov_22.965397_fragment_1	18135
kansas_SRR14883387_NODE_165_length_3600_cov_39.623900	3600
kansas_SRR14883387_NODE_123_length_6226_cov_2.767604	6226
kansas_SRR14883387_NODE_39_length_50023_cov_24.859188_fragment_1	36146
kansas_SRR14883387_NODE_185_length_2868_cov_44.543891	2868
kansas_SRR14883387_NODE_8_length_127364_cov_23.431207_fragment_2	11439
kansas_SRR14883387_NODE_186_length_2799_cov_2.535268	2799
kansas_SRR14883387_NODE_111_length_9029_cov_19.730675	9029
kansas_SRR14883387_NODE_150_length_4438_cov_23.498739	4438
kansas_SRR14883387_NODE_238_length_1424_cov_1.918337	1424
kansas_SRR14883387_NODE_128_length_5933_cov_51.151981	5933
kansas_SRR14883387_NODE_130_length_5762_cov_2.770097	5762
kansas_SRR14883387_NODE_101_length_10328_cov_25.897083	10328
kansas_SRR14883387_NODE_187_length_2605_cov_2.396361	2605
kansas_SRR14883387_NODE_254_length_1105_cov_51.724708	1105
kansas_SRR14883387_NODE_160_length_3798_cov_2.424348	3798
kansas_SRR14883387_NODE_175_length_3157_cov_2.320779	3157
kansas_SRR14883388_NODE_15_length_117945_cov_29.505922_fragment_1	13932
kansas_SRR14883388_NODE_51_length_14051_cov_28.080936	14051
kansas_SRR14883388_NODE_62_length_1612_cov_43.015635	1612
kansas_SRR14883388_NODE_30_length_49041_cov_33.517646_fragment_1	23389
kansas_SRR14883388_NODE_56_length_6598_cov_23.458365	6598
kansas_SRR14883388_NODE_55_length_8710_cov_38.118151	8710
kansas_SRR14883388_NODE_6_length_221028_cov_31.906477_fragment_1	48961
kansas_SRR14883388_NODE_21_length_84051_cov_28.006145_fragment_1	36159
kansas_SRR14883388_NODE_3_length_287361_cov_37.986386_fragment_1	35536
kansas_SRR14883389_NODE_1_length_504588_cov_31.266589_fragment_2	45521
kansas_SRR14883389_NODE_9_length_149880_cov_30.342089_fragment_1	10525
kansas_SRR14883389_NODE_18_length_88638_cov_40.144782_fragment_1	17710
kansas_SRR14883390_NODE_17_length_100875_cov_29.656332_fragment_1	35902
kansas_SRR14883390_NODE_57_length_22691_cov_16.354869	22691
kansas_SRR14883390_NODE_35_length_48653_cov_31.148324_fragment_1	5174
kansas_SRR14883390_NODE_12_length_135349_cov_28.156973_fragment_1	29588
kansas_SRR14883390_NODE_91_length_7051_cov_28.566676	7051
kansas_SRR14883390_NODE_77_length_9516_cov_15.516686	9516
kansas_SRR14883390_NODE_19_length_86559_cov_34.144932_fragment_1	17304
kansas_SRR14883390_NODE_6_length_164594_cov_28.968490_fragment_1	11811
kansas_SRR14883390_NODE_27_length_58983_cov_28.280769_fragment_1	31730
kansas_SRR14883391_NODE_68_length_8630_cov_27.627499	8630
kansas_SRR14883391_NODE_26_length_65986_cov_25.762961_fragment_1	20642
kansas_SRR14883391_NODE_80_length_3080_cov_138.171828	3080
kansas_SRR14883391_NODE_3_length_269829_cov_21.992942_fragment_1	28343
kansas_SRR14883391_NODE_40_length_40449_cov_126.372189	40449
kansas_SRR14883391_NODE_33_length_50352_cov_24.982496_fragment_1	12172
kansas_SRR14883393_NODE_43_length_40447_cov_200.257345	40447
kansas_SRR14883393_NODE_29_length_57695_cov_40.275955_fragment_1	20642
kansas_SRR14883393_NODE_32_length_50352_cov_40.503292_fragment_1	12172
kansas_SRR14883393_NODE_78_length_8630_cov_40.700339	8630
kansas_SRR14883393_NODE_2_length_213266_cov_37.193078_fragment_1	28343
kansas_SRR14883393_NODE_105_length_3080_cov_214.539128	3080
kansas_SRR14883394_NODE_11_length_156939_cov_36.790593_fragment_1	9625
kansas_SRR14883394_NODE_26_length_69575_cov_34.485798_fragment_1	17860
kansas_SRR14883394_NODE_22_length_97264_cov_30.080854_fragment_1	47783
kansas_SRR14883394_NODE_46_length_15693_cov_8.082672	15693
kansas_SRR14883394_NODE_1_length_367398_cov_26.626153_fragment_1	18879
kansas_SRR14883394_NODE_3_length_298016_cov_30.053427_fragment_1	32152
kansas_SRR14883394_NODE_6_length_237364_cov_29.106496_fragment_1	38243
kansas_SRR14883394_NODE_66_length_1416_cov_36.801344	1416
kansas_SRR14883394_NODE_31_length_46076_cov_30.160395_fragment_1	11402
kansas_SRR14883394_NODE_25_length_73596_cov_32.924455_fragment_1	24280
kansas_SRR14883394_NODE_18_length_124428_cov_27.256041_fragment_1	25401
kansas_SRR14883394_NODE_21_length_97897_cov_33.510632_fragment_1	12281
kansas_SRR14883394_NODE_43_length_20753_cov_6.894757	20753
kansas_SRR14883395_NODE_2_length_329394_cov_27.448738_fragment_2	81366
kansas_SRR14883395_NODE_10_length_183677_cov_26.725566_fragment_1	55082
kansas_SRR14883395_NODE_10_length_183677_cov_26.725566_fragment_2	35430
kansas_SRR14883395_NODE_47_length_22921_cov_26.644896	22921
kansas_SRR14883395_NODE_52_length_9598_cov_26.450163	9598
kansas_SRR14883395_NODE_41_length_27949_cov_24.212507	27949
kansas_SRR14883395_NODE_64_length_3022_cov_31.289643	3022
kansas_SRR14883395_NODE_4_length_290789_cov_25.965481_fragment_3	24524
kansas_SRR14883395_NODE_24_length_80427_cov_28.393055_fragment_1	12126
kansas_SRR14883395_NODE_48_length_20522_cov_24.402984	20522
kansas_SRR14883395_NODE_18_length_105231_cov_28.439860_fragment_1	18668
kansas_SRR14883396_NODE_10_length_162844_cov_22.586784_fragment_1	37284
kansas_SRR14883396_NODE_57_length_7980_cov_27.544983	7980
kansas_SRR14883396_NODE_2_length_279257_cov_17.610488_fragment_1	56431
kansas_SRR14883396_NODE_53_length_10647_cov_28.990539	10647
kansas_SRR14883396_NODE_1_length_305107_cov_20.445271_fragment_3	10622
kansas_SRR14883396_NODE_88_length_1531_cov_2.911279	1531
kansas_SRR14883396_NODE_27_length_58379_cov_20.724126_fragment_1	16629
kansas_SRR14883396_NODE_29_length_56060_cov_20.165979_fragment_1	36210
kansas_SRR14883396_NODE_8_length_170033_cov_18.362023_fragment_1	8876
kansas_SRR16277943_NODE_15_length_10396_cov_33.652839	10396
kansas_SRR16277943_NODE_5_length_148809_cov_41.787890_fragment_3	11288
kansas_SRR16277943_NODE_7_length_142136_cov_46.280447_fragment_1	35409
kansas_SRR16277943_NODE_11_length_58234_cov_42.510059_fragment_1	23548
kansas_SRR16277944_NODE_1_length_411931_cov_27.347182_fragment_2	35126
kansas_SRR16277945_NODE_2_length_207894_cov_32.441538_fragment_3	35458
kansas_SRR16277945_NODE_13_length_32815_cov_80.800385	32815
kansas_SRR17839057_NODE_104_length_4535_cov_24.643376	4535
kansas_SRR17839057_NODE_110_length_3678_cov_20.769079	3678
kansas_SRR17839057_NODE_109_length_3820_cov_22.362849	3820
kansas_SRR17839057_NODE_7_length_110649_cov_16.263685_fragment_1	30537
kansas_SRR17839057_NODE_49_length_30177_cov_23.008952_fragment_1	3529
kansas_SRR17839057_NODE_21_length_83584_cov_23.308446_fragment_1	11925
kansas_SRR17839057_NODE_45_length_35030_cov_23.712833	35030
kansas_SRR17839057_NODE_16_length_89129_cov_23.040224_fragment_1	13996
kansas_SRR17839057_NODE_62_length_19582_cov_23.562169	19582
kansas_SRR17839058_NODE_52_length_3910_cov_20.210415	3910
